Crash Breakdown,Crash Breakdown 2,Crash Severity,Cross Street Full Name,Cyclist Flag,Date Of Loss Year,Day Of Week,Derived Crash Congifuration,Heavy Veh Flag,Intersection Crash,Mid Block Crash,Month Of Year,Motorcycle Flag,Municipality Name,Municipality Name (ifnull),Municipality With Boundary,Parking Lot Flag,Pedestrian Flag,Region,Road Location Description,Street Full Name,Street Full Name (ifnull),Time Category,Crash Count,Latitude,Longitude,Number of Records
FRIDAY,VANCOUVER,CASUALTY,VICTORIA DR,Yes,2015,FRIDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KINGSWAY & VICTORIA DR,KINGSWAY,KINGSWAY,18:00-20:59,1,49.245143,-123.065173,1
FRIDAY,VANCOUVER,CASUALTY,E 27TH AVE,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 27TH AVE & MAIN ST,MAIN ST,MAIN ST,06:00-08:59,1,49.247228,-123.10115,1
WEDNESDAY,VANCOUVER,CASUALTY,MAIN ST,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 29TH AVE & MAIN ST,E 29TH AVE,E 29TH AVE,15:00-17:59,1,49.244458,-123.101309,1
WEDNESDAY,VANCOUVER,CASUALTY,VICTORIA DR,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KINGSWAY & VICTORIA DR,KINGSWAY,KINGSWAY,15:00-17:59,1,49.245143,-123.065173,1
MONDAY,VANCOUVER,CASUALTY,WINDERMERE ST,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 27TH AVE & WINDERMERE ST,E 27TH AVE,E 27TH AVE,06:00-08:59,1,49.246256,-123.036643,1
MONDAY,VANCOUVER,CASUALTY,E 28TH AVE,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,E 28TH AVE & MAIN ST,MAIN ST,MAIN ST,06:00-08:59,1,49.245848,-123.101254,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2016,TUESDAY,SINGLE VEHICLE,N,No,Y,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,W 29TH AVE,W 29TH AVE,W 29TH AVE,09:00-11:59,1,49.246122,-123.174352,1
MONDAY,VANCOUVER,CASUALTY,E 15TH AVE,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CAROLINA ST & E 15TH AVE & KINGSWAY,CAROLINA ST,CAROLINA ST,15:00-17:59,1,49.257326,-123.091813,1
TUESDAY,VANCOUVER,CASUALTY,NANAIMO ST,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,GRANDVIEW HWY N & NANAIMO ST,GRANDVIEW HWY N,GRANDVIEW HWY N,15:00-17:59,1,49.258468,-123.056617,1
TUESDAY,VANCOUVER,CASUALTY,HEATHER ST,Yes,2015,TUESDAY,UNDETERMINED,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,HEATHER ST & W 13TH AVE,W 13TH AVE,W 13TH AVE,15:00-17:59,1,49.259526,-123.119989,1
FRIDAY,VANCOUVER,CASUALTY,E 12TH AVE,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,COMMERCIAL DR & E 12TH AVE,COMMERCIAL DR,COMMERCIAL DR,09:00-11:59,1,49.259588,-123.069846,1
FRIDAY,VANCOUVER,PROPERTY DAMAGE ONLY,GLEN DR,Yes,2017,FRIDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 16TH AVE & GLEN DR,E 16TH AVE,E 16TH AVE,15:00-17:59,1,49.256302,-123.081706,1
FRIDAY,VANCOUVER,CASUALTY,COLUMBIA ST,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 5TH AVE,W 5TH AVE,W 5TH AVE,12:00-14:59,1,49.266577,-123.109451,1
WEDNESDAY,VANCOUVER,CASUALTY,COLUMBIA ST,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 5TH AVE,W 5TH AVE,W 5TH AVE,00:00-02:59,1,49.266577,-123.109451,1
THURSDAY,VANCOUVER,CASUALTY,BRUNSWICK ST,Yes,2017,THURSDAY,SIDE IMPACT,N,Yes,N,FEBRUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BRUNSWICK ST & E 2ND AVE & GREAT NORTHERN WAY,E 2ND AVE,E 2ND AVE,06:00-08:59,1,49.266741,-123.096256,1
MONDAY,VANCOUVER,CASUALTY,LOCARNO CRES,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,LOCARNO CRES & NW MARINE DR,NW MARINE DR,NW MARINE DR,18:00-20:59,1,49.268994,-123.201678,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,COLUMBIA ST,Yes,2018,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,COLUMBIA ST & W 2ND AVE,W 2ND AVE,W 2ND AVE,06:00-08:59,1,49.26923,-123.109427,1
TUESDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2015,TUESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & ONTARIO ST & W 2ND AVE,E 2ND AVE,E 2ND AVE,06:00-08:59,1,49.269246,-123.104652,1
FRIDAY,VANCOUVER,CASUALTY,NANAIMO ST,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,JANUARY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE & NANAIMO ST,E 49TH AVE,E 49TH AVE,18:00-20:59,1,49.22504,-123.059158,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,FIR ST,Yes,2015,THURSDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,FIR ST & W 4TH AVE,W 4TH AVE,W 4TH AVE,12:00-14:59,1,49.267924,-123.140873,1
TUESDAY,VANCOUVER,CASUALTY,ISLAND PARK WALK,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ANDERSON ST & ISLAND PARK WALK,ANDERSON ST,ANDERSON ST,12:00-14:59,1,49.269983,-123.137079,1
MONDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2019,MONDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE & ONTARIO ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,12:00-14:59,1,49.268301,-123.104686,1
TUESDAY,VANCOUVER,CASUALTY,BURRARD ST,Yes,2018,TUESDAY,UNDETERMINED,N,Yes,N,NOVEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,15:00-17:59,1,49.2689,-123.145594,1
WEDNESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,E 2ND AVE,Yes,2017,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,CLARK DR & E 2ND AVE,CLARK DR,CLARK DR,06:00-08:59,1,49.268754,-123.077385,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,E 2ND AVE,Yes,2017,TUESDAY,UNDETERMINED,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & QUEBEC ST,QUEBEC ST,QUEBEC ST,06:00-08:59,1,49.269212,-123.102714,1
THURSDAY,VANCOUVER,CASUALTY,NA,Yes,2016,THURSDAY,SINGLE VEHICLE,N,No,Y,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,QUEBEC ST,QUEBEC ST,QUEBEC ST,09:00-11:59,1,49.271528000000004,-123.102196,1
THURSDAY,VANCOUVER,PROPERTY DAMAGE ONLY,QUEBEC ST,Yes,2018,THURSDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 2ND AVE & QUEBEC ST,E 2ND AVE,E 2ND AVE,12:00-14:59,1,49.269212,-123.102714,1
THURSDAY,VANCOUVER,CASUALTY,W 3RD AVE,Yes,2019,THURSDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,BURRARD ST & W 3RD AVE,BURRARD ST,BURRARD ST,21:00-23:59,1,49.2689,-123.145594,1
WEDNESDAY,VANCOUVER,CASUALTY,FRASER ST,Yes,2016,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE & FRASER ST,E 51ST AVE,E 51ST AVE,15:00-17:59,1,49.223571,-123.090842,1
WEDNESDAY,VANCOUVER,CASUALTY,ONTARIO ST,Yes,2018,WEDNESDAY,HEAD ON,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 51ST AVE & ONTARIO ST,E 51ST AVE,E 51ST AVE,06:00-08:59,1,49.223809,-123.105957,1
TUESDAY,VANCOUVER,CASUALTY,QUEBEC ST,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 52ND AVE & QUEBEC ST,E 52ND AVE,E 52ND AVE,15:00-17:59,1,49.22291,-123.103889,1
WEDNESDAY,VANCOUVER,CASUALTY,KERR ST,Yes,2016,WEDNESDAY,UNDETERMINED,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 49TH AVE & KERR ST,E 49TH AVE,E 49TH AVE,06:00-08:59,1,49.224712,-123.041049,1
TUESDAY,VANCOUVER,CASUALTY,ROSEMONT DR,Yes,2018,TUESDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KERR ST & ROSEMONT DR,KERR ST,KERR ST,06:00-08:59,1,49.215498,-123.041517,1
MONDAY,VANCOUVER,CASUALTY,W 4TH AVE,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,ALMA ST & W 4TH AVE,ALMA ST,ALMA ST,15:00-17:59,1,49.268607,-123.185686,1
TUESDAY,VANCOUVER,CASUALTY,MAIN ST,Yes,2017,TUESDAY,SINGLE VEHICLE,N,Yes,N,MARCH,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE & MAIN ST,E 3RD AVE,E 3RD AVE,09:00-11:59,1,49.268228,-123.100739,1
MONDAY,VANCOUVER,CASUALTY,MACDONALD ST,Yes,2019,MONDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MACDONALD ST & W 4TH AVE,W 4TH AVE,W 4TH AVE,18:00-20:59,1,49.26838,-123.168279,1
TUESDAY,VANCOUVER,CASUALTY,MAPLE ST,Yes,2017,TUESDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,MAPLE ST & W 3RD AVE,W 3RD AVE,W 3RD AVE,12:00-14:59,1,49.268989,-123.150354,1
FRIDAY,VANCOUVER,CASUALTY,W 3RD AVE,Yes,2018,FRIDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 3RD AVE & ONTARIO ST & W 3RD AVE,ONTARIO ST,ONTARIO ST,15:00-17:59,1,49.268301,-123.104686,1
