Crash Breakdown,Crash Breakdown 2,Crash Severity,Cross Street Full Name,Cyclist Flag,Date Of Loss Year,Day Of Week,Derived Crash Congifuration,Heavy Veh Flag,Intersection Crash,Mid Block Crash,Month Of Year,Motorcycle Flag,Municipality Name,Municipality Name (ifnull),Municipality With Boundary,Parking Lot Flag,Pedestrian Flag,Region,Road Location Description,Street Full Name,Street Full Name (ifnull),Time Category,Crash Count,Latitude,Longitude,Number of Records
MONDAY,NORTH VANCOUVER,CASUALTY,W 3RD ST,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,No,No,LOWER MAINLAND,E 3RD ST & LONSDALE AVE & W 3RD ST,LONSDALE AVE,LONSDALE AVE,18:00-20:59,1,49.31343,-123.077042,1
TUESDAY,PARKSVILLE,CASUALTY,STANFORD AVE E,Yes,2016,TUESDAY,SINGLE VEHICLE,N,Yes,N,SEPTEMBER,N,PARKSVILLE,PARKSVILLE,PARKSVILLE,No,No,VANCOUVER ISLAND,CORFIELD ST S & STANFORD AVE E,CORFIELD ST,CORFIELD ST,06:00-08:59,1,49.315589,-124.307099,1
FRIDAY,VANCOUVER,CASUALTY,VICTORIA DR,Yes,2015,FRIDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KINGSWAY & VICTORIA DR,KINGSWAY,KINGSWAY,18:00-20:59,1,49.245143,-123.065173,1
FRIDAY,VANCOUVER,CASUALTY,E 27TH AVE,Yes,2019,FRIDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 27TH AVE & MAIN ST,MAIN ST,MAIN ST,06:00-08:59,1,49.247228,-123.10115,1
WEDNESDAY,VANCOUVER,CASUALTY,MAIN ST,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 29TH AVE & MAIN ST,E 29TH AVE,E 29TH AVE,15:00-17:59,1,49.244458,-123.101309,1
MONDAY,PITT MEADOWS,CASUALTY,OLD DEWDNEY TRUNK RD,Yes,2015,MONDAY,UNDETERMINED,N,Yes,N,DECEMBER,N,PITT MEADOWS,PITT MEADOWS,PITT MEADOWS,No,No,LOWER MAINLAND,HARRIS RD & OLD DEWDNEY TRUNK RD,HARRIS RD,HARRIS RD,15:00-17:59,1,49.244127,-122.689525,1
MONDAY,NORTH VANCOUVER,CASUALTY,RIVERSIDE DR,Yes,2017,MONDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,No,No,LOWER MAINLAND,MT SEYMOUR PKY & RIVERSIDE DR,MT SEYMOUR PKY,MT SEYMOUR PKY,09:00-11:59,1,49.311036,-123.014719,1
FRIDAY,NORTH VANCOUVER,CASUALTY,CHESTERFIELD AVE,Yes,2015,FRIDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,No,No,LOWER MAINLAND,CHESTERFIELD AVE & W 1ST ST,W 1ST ST,W 1ST ST,15:00-17:59,1,49.313175,-123.081814,1
TUESDAY,SURREY,CASUALTY,KING GEORGE BLVD,Yes,2019,TUESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,SURREY,SURREY,SURREY,No,No,LOWER MAINLAND,32 AVE & KING GEORGE BLVD,32 AVE,32 AVE,06:00-08:59,1,49.060255,-122.811812,1
SATURDAY,SURREY,CASUALTY,CROYDON DR,Yes,2018,SATURDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,SURREY,SURREY,SURREY,No,No,LOWER MAINLAND,154 ST & 32 AVE & CROYDON DR,154 ST,154 ST,12:00-14:59,1,49.060643,-122.797402,1
THURSDAY,DELTA,CASUALTY,DAWN DR,Yes,2017,THURSDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,DELTA,DELTA,DELTA,Yes,No,LOWER MAINLAND,64 ST & DAWN DR,64 ST,64 ST,09:00-11:59,1,49.084123,-123.046295,1
WEDNESDAY,VANCOUVER,CASUALTY,VICTORIA DR,Yes,2015,WEDNESDAY,SINGLE VEHICLE,N,Yes,N,AUGUST,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,KINGSWAY & VICTORIA DR,KINGSWAY,KINGSWAY,15:00-17:59,1,49.245143,-123.065173,1
MONDAY,VANCOUVER,CASUALTY,WINDERMERE ST,Yes,2018,MONDAY,SINGLE VEHICLE,N,Yes,N,MAY,N,VANCOUVER,VANCOUVER,VANCOUVER,No,No,LOWER MAINLAND,E 27TH AVE & WINDERMERE ST,E 27TH AVE,E 27TH AVE,06:00-08:59,1,49.246256,-123.036643,1
MONDAY,VANCOUVER,CASUALTY,E 28TH AVE,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,JUNE,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,E 28TH AVE & MAIN ST,MAIN ST,MAIN ST,06:00-08:59,1,49.245848,-123.101254,1
TUESDAY,VANCOUVER,PROPERTY DAMAGE ONLY,NA,Yes,2016,TUESDAY,SINGLE VEHICLE,N,No,Y,SEPTEMBER,N,VANCOUVER,VANCOUVER,VANCOUVER,Yes,No,LOWER MAINLAND,W 29TH AVE,W 29TH AVE,W 29TH AVE,09:00-11:59,1,49.246122,-123.174352,1
MONDAY,NORTH VANCOUVER,PROPERTY DAMAGE ONLY,CHESTERFIELD AVE,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,OCTOBER,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,No,No,LOWER MAINLAND,CHESTERFIELD AVE & W 4TH ST,W 4TH ST,W 4TH ST,06:00-08:59,1,49.315569000000004,-123.079373,1
SATURDAY,NORTH VANCOUVER,CASUALTY,W 1ST ST,Yes,2016,SATURDAY,SINGLE VEHICLE,N,Yes,N,APRIL,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,No,No,LOWER MAINLAND,GARDEN AVE & W 1ST ST,GARDEN AVE,GARDEN AVE,18:00-20:59,1,49.31664,-123.118337,1
MONDAY,NORTH VANCOUVER,CASUALTY,RUPERT ST,Yes,2016,MONDAY,SINGLE VEHICLE,N,Yes,N,JULY,N,NORTH VANCOUVER,NORTH VANCOUVER,NORTH VANCOUVER,No,No,LOWER MAINLAND,MOUNTAIN HWY & RUPERT ST,MOUNTAIN HWY,MOUNTAIN HWY,12:00-14:59,1,49.307953,-123.031978,1
MONDAY,LANGLEY,CASUALTY,NA,Yes,2019,MONDAY,SINGLE VEHICLE,N,No,N,MARCH,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,FRASER HWY,FRASER HWY,FRASER HWY,12:00-14:59,1,49.111528,-122.674427,1
FRIDAY,LANGLEY,CASUALTY,FRASER HWY,Yes,2018,FRIDAY,UNDETERMINED,N,Yes,N,JULY,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,FRASER HWY & LANGLEY BYPASS & TURNING LANE,HWY 10,HWY 10,15:00-17:59,1,49.111887,-122.675391,1
THURSDAY,LANGLEY,CASUALTY,LOGAN AVE,Yes,2018,THURSDAY,SINGLE VEHICLE,N,Yes,N,DECEMBER,N,LANGLEY,LANGLEY,LANGLEY,No,No,LOWER MAINLAND,200 ST & LOGAN AVE & PRODUCTION WAY,200 ST,200 ST,06:00-08:59,1,49.111204,-122.668709,1
